Commit SHA,Java File,Old Function Signature,New Function Signature
8e313a1e58a56694c0441b2fa60974fa8e1bfe31,src/test/java/org.junit.tests.experimental.interceptor.InterceptorTest.MultipleInterceptorTest.Incrementor,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
223b34b516467bcd9cb7ebc7f49549f2e7362dca,src/main/java/org.junit.experimental.max.MaxCore,"private findLeaves(description Description, results List) : void","private findLeaves(parent Description, description Description, results List) : void"
5ccb8e7c1189ac4a248dc2aa2852d1a760937466,src/main/java/org.junit.runners.model.TestClass,private ensureKey(annotation Class) : void,"private ensureKey(map Map, annotation Class) : void"
85d42f2ef0ce94448700c90ed99372def66dc2a2,src/main/java/org.junit.runners.model.TestClass,private ensureKey(annotation Class) : void,"private ensureKey(map Map, annotation Class) : void"
432e3e27df0b072f3bab066cd33214913f4c7f32,src/main/java/org.junit.runner.Request,public classes(classes Class[]) : Request,"public classes(asdfasdf Executioner, classes Class[]) : Request"
9bd1be07aa38d7fa2de048845f7b13458c9420d7,src/main/java/org.junit.internal.runners.BlockJUnit4ClassRunner,"protected withPotentialTimeout(annotation TestAnnotation, next Statement) : Statement","protected withPotentialTimeout(method FrameworkMethod, test Object, next Statement) : Statement"
9bd1be07aa38d7fa2de048845f7b13458c9420d7,src/main/java/org.junit.internal.runners.BlockJUnit4ClassRunner,"protected possiblyExpectingExceptions(annotation TestAnnotation, next Statement) : Statement","protected possiblyExpectingExceptions(method FrameworkMethod, test Object, next Statement) : Statement"
37a611801fbea6ecc9b6356d9616e761c8b59b91,src/main/java/org.junit.experimental.theories.internal.AllMembersSupplier,"private addArrayValues(list List, array Object) : void","private addArrayValues(name String, list List, array Object) : void"
37a611801fbea6ecc9b6356d9616e761c8b59b91,src/main/java/org.junit.experimental.theories.PotentialAssignment,public forValue(value Object) : PotentialAssignment,"public forValue(name String, value Object) : PotentialAssignment"
d148bce8682505082a3cc634acbd36ac13a10c9a,src/main/java/org.junit.runners.Suite,"protected Suite(klass Class, annotatedClasses Class[])","protected Suite(builder SuiteBuilder, klass Class, annotatedClasses Class[])"
d148bce8682505082a3cc634acbd36ac13a10c9a,src/main/java/org.junit.runners.Suite,public Suite(klass Class),"public Suite(klass Class, builder SuiteBuilder)"
d148bce8682505082a3cc634acbd36ac13a10c9a,src/main/java/org.junit.runners.Enclosed,public Enclosed(klass Class),"public Enclosed(klass Class, builder SuiteBuilder)"
d148bce8682505082a3cc634acbd36ac13a10c9a,src/main/java/org.junit.internal.requests.ClassRequest,public ClassRequest(testClass Class),"public ClassRequest(testClass Class, builder SuiteBuilder)"
d148bce8682505082a3cc634acbd36ac13a10c9a,src/main/java/org.junit.internal.requests.ClassRequest,"public ClassRequest(testClass Class, canUseSuiteMethod boolean)","public ClassRequest(testClass Class, builder SuiteBuilder, canUseSuiteMethod boolean)"
d148bce8682505082a3cc634acbd36ac13a10c9a,src/main/java/org.junit.runners.Suite,public Suite(classes Class[]),"public Suite(requestor SuiteBuilder, classes Class[])"
95bd62b2ffd80394d1a17e9078a4d79478423030,src/main/java/org.junit.runners.Parameterized,private getParametersList() : List,private getParametersList(testClass TestClass) : List
95bd62b2ffd80394d1a17e9078a4d79478423030,src/main/java/org.junit.runners.Parameterized,private getParametersMethod() : FrameworkMethod,private getParametersMethod(testClass TestClass) : FrameworkMethod
95bd62b2ffd80394d1a17e9078a4d79478423030,src/main/java/org.junit.runners.Parameterized.TestClassRunnerForParameters,"package TestClassRunnerForParameters(type Class, i int)","package TestClassRunnerForParameters(type Class, parameterList List, i int)"
478900d7d7af563a3b75b6ca9d7d44e37e2aff5b,src/main/java/org.junit.internal.runners.CompositeRunner,public CompositeRunner(name String),"public CompositeRunner(name String, runners List)"
a3e0b1c6cbd770405cb7fdd4291090afc8e49df7,src/org.junit.experimental.theories.internal.Assignments,"public Assignments(assigned List, unassigned List, type Class, constructorParameterCount int)","public Assignments(assigned List, unassigned List, type Class, constructorParameterCount int, nullsOk boolean)"
a3e0b1c6cbd770405cb7fdd4291090afc8e49df7,src/org.junit.experimental.theories.internal.Assignments,"public allUnassigned(testMethod Method, testClass Class) : Assignments","public allUnassigned(testMethod Method, testClass Class, nullsOk boolean) : Assignments"
b9ce87013e5389857956d785d14fc4f3fc2490c3,src/org.junit.experimental.theories.Theories.TheoryAnchor,"private methodCompletesWithParameters(complete Assignments, freshInstance Object) : Statement","private methodCompletesWithParameters(method FrameworkMethod, complete Assignments, freshInstance Object) : Statement"
b9ce87013e5389857956d785d14fc4f3fc2490c3,src/org.junit.experimental.theories.Theories.TheoryAnchor,"private invokeWithActualParameters(target Object, complete Assignments) : void","private invokeWithActualParameters(method FrameworkMethod, target Object, complete Assignments) : void"
07b834616b9c3ce07af47165c55fe64f93f165f4,src/org.junit.experimental.theories.internal.Assignments,"public Assignments(assigned List, unassigned List, type Class)","public Assignments(assigned List, unassigned List, type Class, constructorParameterCount int)"
4e1018a940699a38673b1861977110e6b558afb1,src/org.junit.runner.JUnitCore,public runMain(args String[]) : Result,"public runMain(system JUnitSystem, args String[]) : Result"
4e1018a940699a38673b1861977110e6b558afb1,src/org.junit.internal.TextListener,public TextListener(),public TextListener(system JUnitSystem)
59b1e2926cdebfd257c6c091ee2bd478d8aa04d2,src/org.junit.experimental.theories.ParameterSignature,"private findDeepAnnotation(annotations Annotation[], annotationType Class) : T","private findDeepAnnotation(annotations Annotation[], annotationType Class, depth int) : T"
59b1e2926cdebfd257c6c091ee2bd478d8aa04d2,src/org.junit.experimental.theories.internal.Assignments,"public getActualValues(nullsOk boolean, target Object) : Object[]","public getActualValues(nullsOk boolean, start int, stop int) : Object[]"
0e1c92693e70e52ad9af23ee6180500c74fc9c95,src/org.junit.experimental.theories.ParameterSignature,"private findDeepAnnotation(annotations Annotation[], annotationType Class) : T","private findDeepAnnotation(annotations Annotation[], annotationType Class, remainingDepth int) : T"
f0ef837a40922ac08c608661385abf71732975d3,src/org.junit.internal.runners.JUnit4ClassRunner,"protected chain(method TestMethod, test Object) : Link","protected chain(method TestMethod, test Object, notifier EachTestNotifier) : Link"
f0ef837a40922ac08c608661385abf71732975d3,src/org.junit.experimental.theories.Theories,"protected chain(method TestMethod, test Object) : Link","protected chain(method TestMethod, test Object, notifier EachTestNotifier) : Link"
f0ef837a40922ac08c608661385abf71732975d3,src/org.junit.internal.runners.JUnit4ClassRunner,"protected notifying(method TestMethod, link Link) : Link","protected notifying(method TestMethod, link Link, notifier EachTestNotifier) : Link"
bd8a96dbbfe93f134f75c768e5c1254cff8a9e9f,src/org.junit.experimental.theories.internal.Assignments,public getActualValues(nullsOk boolean) : Object[],"public getActualValues(nullsOk boolean, target Object) : Object[]"
bd8a96dbbfe93f134f75c768e5c1254cff8a9e9f,src/org.junit.tests.experimental.theories.extendingwithstubs.StubbedTheories.StubbedTheoryAnchor,protected runWithIncompleteAssignment(incomplete Assignments) : void,"protected runWithIncompleteAssignment(incomplete Assignments, notifier EachTestNotifier) : void"
bd8a96dbbfe93f134f75c768e5c1254cff8a9e9f,src/org.junit.experimental.theories.Theories.TheoryAnchor,protected runWithIncompleteAssignment(incomplete Assignments) : void,"protected runWithIncompleteAssignment(incomplete Assignments, notifier EachTestNotifier) : void"
bd8a96dbbfe93f134f75c768e5c1254cff8a9e9f,src/org.junit.experimental.theories.Theories.TheoryAnchor,protected runWithAssignment(parameterAssignment Assignments) : void,"protected runWithAssignment(parameterAssignment Assignments, notifier EachTestNotifier) : void"
bd8a96dbbfe93f134f75c768e5c1254cff8a9e9f,src/org.junit.experimental.theories.Theories.TheoryAnchor,protected runWithCompleteAssignment(complete Assignments) : void,"protected runWithCompleteAssignment(complete Assignments, notifier EachTestNotifier) : void"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.experimental.theories.Theories,protected invoke(method TestMethod) : TheoryAnchor,"protected invoke(method TestMethod, test Object) : TheoryAnchor"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.tests.experimental.theories.extendingwithstubs.Guesser,public getValue() : Object,public getValue(test Object) : Object
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.tests.experimental.theories.extendingwithstubs.StubbedTheories,protected invoke(method TestMethod) : TheoryAnchor,"protected invoke(method TestMethod, test Object) : TheoryAnchor"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.JUnit4ClassRunner,"public run(context Roadie, method TestMethod) : void","public run(context EachTestNotifier, method TestMethod, test Object) : void"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.experimental.theories.Theories,protected chain(method TestMethod) : Link,"protected chain(method TestMethod, test Object) : Link"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.JUnit4ClassRunner,protected chain(method TestMethod) : Link,"protected chain(method TestMethod, test Object) : Link"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.experimental.theories.internal.AssignmentRequest.MethodParameterValue,public getValue() : Object,public getValue(test Object) : Object
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.model.TestElement,public runBefores(roadie Roadie) : boolean,"public runBefores(roadie EachTestNotifier, target Object) : boolean"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.model.TestElement,public runAfters(roadie Roadie) : void,"public runAfters(roadie EachTestNotifier, target Object) : void"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.experimental.theories.internal.Assignments,"public Assignments(context Roadie, unassigned List)","public Assignments(context EachTestNotifier, unassigned List, target Object)"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.experimental.theories.internal.Assignments,"public allUnassigned(context Roadie, testMethod Method) : Assignments","public allUnassigned(context EachTestNotifier, testMethod Method, target Object) : Assignments"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.model.TestElement,"public runProtected(roadie Roadie, runnable Runnable) : void","public runProtected(roadie EachTestNotifier, runnable Runnable, target Object) : void"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.experimental.theories.internal.Assignments,"public Assignments(context Roadie, assigned List, unassigned List)","public Assignments(context EachTestNotifier, assigned List, unassigned List, target Object)"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.tests.experimental.theories.extendingwithstubs.GuesserQueue.ReguessableDecorator,public getValue() : Object,public getValue(test Object) : Object
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.links.WithBeforeAndAfter,"public WithBeforeAndAfter(next Link, element TestElement)","public WithBeforeAndAfter(next Link, element TestElement, target Object)"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.JUnit4ClassRunner,protected invoke(method TestMethod) : Link,"protected invoke(method TestMethod, test Object) : Link"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.links.Invoke,public Invoke(testMethod TestMethod),"public Invoke(testMethod TestMethod, target Object)"
b333208ccfbef77c556a270bd4385586523dcafc,src/org.junit.internal.runners.JUnit4ClassRunner,"protected withBeforeAndAfter(method TestMethod, link Link) : Link","protected withBeforeAndAfter(method TestMethod, link Link, target Object) : Link"
679e5dd3e4af3115492fabed45ea8c48bfa9d9bf,src/org.junit.internal.runners.JUnit4MethodRunner,"protected runWithActualTimeout(context Roadie, timeout long) : void","protected runWithActualTimeout(context Roadie, timeout long, next Link) : void"
79d696c81cb996e6a199b062c0ae1f53408d5ebd,src/org.junit.internal.runners.ClassRoadie,private runBefores() : void,package runBefores(javaElement JavaElement) : void
79d696c81cb996e6a199b062c0ae1f53408d5ebd,src/org.junit.internal.runners.ClassRoadie,private runAfters() : void,package runAfters(javaElement JavaElement) : void
79d696c81cb996e6a199b062c0ae1f53408d5ebd,src/org.junit.internal.runners.ClassRoadie,public runProtected() : void,"public runProtected(javaElement JavaElement, runnable Runnable) : void"
dabf9f919413ef7f86c95140502792bcaa2b842a,src/org.junit.runner.Description,"public createTestDescription(clazz Class, name String) : Description","public createTestDescription(clazz Class, name String, annotations Annotation[]) : Description"
dabf9f919413ef7f86c95140502792bcaa2b842a,src/org.junit.runner.Description,public createSuiteDescription(name String) : Description,"public createSuiteDescription(name String, annotations Annotation[]) : Description"
dabf9f919413ef7f86c95140502792bcaa2b842a,src/org.junit.runner.Description,protected Description(displayName String),"private Description(displayName String, annotations Annotation[])"
c73e37759ed5119900f1ddf3f50dac5bb3ae19be,org.junit.internal.runners.TestClassMethodsRunner,"private testAborted(notifier RunNotifier, description Description) : void","private testAborted(notifier RunNotifier, description Description, cause Throwable) : void"
86b71cb1b9784a9b87c86b4f3f12632ae6773d1f,junit.swingui.CounterPanel,private createOutputField() : JTextField,private createOutputField(width int) : JTextField
