Commit SHA,Java File,Old Function Signature,New Function Signature
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.UnreadableReader,"public invoke(reader Object, leftangle Object) : Object","public invoke(reader Object, leftangle Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.EvalReader,"public invoke(reader Object, eq Object) : Object","public invoke(reader Object, eq Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.FnReader,"public invoke(reader Object, lparen Object) : Object","public invoke(reader Object, lparen Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.MetaReader,"public invoke(reader Object, caret Object) : Object","public invoke(reader Object, caret Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.ArgReader,"public invoke(reader Object, pct Object) : Object","public invoke(reader Object, pct Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.ListReader,"public invoke(reader Object, leftparen Object) : Object","public invoke(reader Object, leftparen Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.DeprecatedWrappingReader,"public invoke(reader Object, quote Object) : Object","public invoke(reader Object, quote Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.CtorReader,"private readTagged(reader PushbackReader, tag Symbol) : Object","private readTagged(o Object, tag Symbol, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.MapReader,"public invoke(reader Object, leftparen Object) : Object","public invoke(reader Object, leftparen Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.DispatchReader,"public invoke(reader Object, hash Object) : Object","public invoke(reader Object, hash Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.SyntaxQuoteReader,"public invoke(reader Object, backquote Object) : Object","public invoke(reader Object, backquote Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.UnquoteReader,"public invoke(reader Object, comma Object) : Object","public invoke(reader Object, comma Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.VarReader,"public invoke(reader Object, quote Object) : Object","public invoke(reader Object, quote Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.WrappingReader,"public invoke(reader Object, quote Object) : Object","public invoke(reader Object, quote Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.VectorReader,"public invoke(reader Object, leftparen Object) : Object","public invoke(reader Object, leftparen Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.SetReader,"public invoke(reader Object, leftbracket Object) : Object","public invoke(reader Object, leftbracket Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.DiscardReader,"public invoke(reader Object, underscore Object) : Object","public invoke(reader Object, underscore Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.CtorReader,"private readRecord(r PushbackReader, recordName Symbol) : Object","private readRecord(form Object, recordName Symbol, opts Object, pendingForms Object) : Object"
ecdfafb9665d3938330c91267381d01536a691b1,src/jvm/clojure.lang.APersistentMap.KeySeq,"private KeySeq(meta IPersistentMap, seq ISeq)","private KeySeq(meta IPersistentMap, seq ISeq, iterable Iterable)"
ecdfafb9665d3938330c91267381d01536a691b1,src/jvm/clojure.lang.APersistentMap.ValSeq,"private ValSeq(meta IPersistentMap, seq ISeq)","private ValSeq(meta IPersistentMap, seq ISeq, iterable Iterable)"
d760db170414d770ec348e906eb4d73ed42f1f90,src/jvm/clojure.lang.PersistentArrayMap.Iter,package Iter(array Object[]),"package Iter(array Object[], f IFn)"
d760db170414d770ec348e906eb4d73ed42f1f90,src/jvm/clojure.lang.PersistentArrayMap.Iter,"package Iter(array Object[], i int)","package Iter(array Object[], i int, f IFn)"
59889fdeb7ef7f4f73e13fa6ecb627f62b7d2adb,src/jvm/clojure.lang.Compiler.DefExpr,"public DefExpr(source String, line int, column int, var Var, init Expr, meta Expr, initProvided boolean, isDynamic boolean)","public DefExpr(source String, line int, column int, var Var, init Expr, meta Expr, initProvided boolean, isDynamic boolean, shadowsCoreMapping boolean)"
20a9547c7bf84db4cb2be8497371b8cd813f41e3,src/jvm/clojure.lang.Compiler.ObjExpr,package getCompiledClass() : Class,package getCompiledClass(loader DynamicClassLoader) : Class
5fda6cb262d1807566ecadd3af9aaafb58ee5544,src/jvm/clojure.lang.Compiler.InstanceFieldExpr,"public InstanceFieldExpr(line int, column int, target Expr, fieldName String, tag Symbol)","public InstanceFieldExpr(line int, column int, target Expr, fieldName String, tag Symbol, requireField boolean)"
c8d3ef3929e8049a84957002bc7e2071844bfb53,src/jvm/clojure.asm.AnnotationWriter,"package put(panns AnnotationWriter[], out ByteVector) : void","package put(panns AnnotationWriter[], off int, out ByteVector) : void"
c8d3ef3929e8049a84957002bc7e2071844bfb53,src/jvm/clojure.asm.commons.AdviceAdapter,"public AdviceAdapter(mv MethodVisitor, access int, name String, desc String)","protected AdviceAdapter(api int, mv MethodVisitor, access int, name String, desc String)"
c8d3ef3929e8049a84957002bc7e2071844bfb53,src/jvm/clojure.asm.ClassReader,private readClass(is InputStream) : byte[],"private readClass(is InputStream, close boolean) : byte[]"
c8d3ef3929e8049a84957002bc7e2071844bfb53,src/jvm/clojure.asm.ClassReader,"private readParameterAnnotations(v int, buf char[], visible boolean, mv MethodVisitor) : void","private readParameterAnnotations(v int, desc String, buf char[], visible boolean, mv MethodVisitor) : void"
4671019d78fc7b83768b5cb1e7bb4c699f24af3e,src/jvm/clojure.lang.EdnReader,"private readToken(r PushbackReader, initch char) : String","private readToken(r PushbackReader, initch char, leadConstituent boolean) : String"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.CharacterReader,"public invoke(reader Object, backslash Object) : Object","public invoke(reader Object, backslash Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.CommentReader,"public invoke(reader Object, semicolon Object) : Object","public invoke(reader Object, semicolon Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.StringReader,"public invoke(reader Object, doublequote Object) : Object","public invoke(reader Object, doublequote Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.UnmatchedDelimiterReader,"public invoke(reader Object, rightdelim Object) : Object","public invoke(reader Object, rightdelim Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.UnreadableReader,"public invoke(reader Object, leftangle Object) : Object","public invoke(reader Object, leftangle Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader,"public read(r PushbackReader, eofIsError boolean, eofValue Object, isRecursive boolean) : Object","public read(r PushbackReader, eofIsError boolean, eofValue Object, isRecursive boolean, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.MetaReader,"public invoke(reader Object, caret Object) : Object","public invoke(reader Object, caret Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.ListReader,"public invoke(reader Object, leftparen Object) : Object","public invoke(reader Object, leftparen Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader,"public readDelimitedList(delim char, r PushbackReader, isRecursive boolean) : List","public readDelimitedList(delim char, r PushbackReader, isRecursive boolean, opts Object) : List"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.MapReader,"public invoke(reader Object, leftparen Object) : Object","public invoke(reader Object, leftparen Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.SetReader,"public invoke(reader Object, leftbracket Object) : Object","public invoke(reader Object, leftbracket Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.VectorReader,"public invoke(reader Object, leftparen Object) : Object","public invoke(reader Object, leftparen Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.DiscardReader,"public invoke(reader Object, underscore Object) : Object","public invoke(reader Object, underscore Object, opts Object) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader,public readString(s String) : Object,"public readString(s String, opts IPersistentMap) : Object"
692817a10283c98c5d57bf3515ba39cf533d7aad,src/jvm/clojure.lang.EdnReader.DispatchReader,"public invoke(reader Object, hash Object) : Object","public invoke(reader Object, hash Object, opts Object) : Object"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.InvokeExpr,"public InvokeExpr(source String, line int, tag Symbol, fexpr Expr, args IPersistentVector)","public InvokeExpr(source String, line int, column int, tag Symbol, fexpr Expr, args IPersistentVector)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.NewExpr,"public NewExpr(c Class, args IPersistentVector, line int)","public NewExpr(c Class, args IPersistentVector, line int, column int)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.InstanceMethodExpr,"public InstanceMethodExpr(source String, line int, tag Symbol, target Expr, methodName String, args IPersistentVector)","public InstanceMethodExpr(source String, line int, column int, tag Symbol, target Expr, methodName String, args IPersistentVector)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.StaticMethodExpr,"public StaticMethodExpr(source String, line int, tag Symbol, c Class, methodName String, args IPersistentVector)","public StaticMethodExpr(source String, line int, column int, tag Symbol, c Class, methodName String, args IPersistentVector)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.CaseExpr,"public CaseExpr(line int, expr LocalBindingExpr, shift int, mask int, low int, high int, defaultExpr Expr, tests SortedMap, thens HashMap, switchType Keyword, testType Keyword, skipCheck Set)","public CaseExpr(line int, column int, expr LocalBindingExpr, shift int, mask int, low int, high int, defaultExpr Expr, tests SortedMap, thens HashMap, switchType Keyword, testType Keyword, skipCheck Set)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.CompilerException,"public CompilerException(source String, line int, cause Throwable)","public CompilerException(source String, line int, column int, cause Throwable)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.StaticFieldExpr,"public StaticFieldExpr(line int, c Class, fieldName String, tag Symbol)","public StaticFieldExpr(line int, column int, c Class, fieldName String, tag Symbol)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.KeywordInvokeExpr,"public KeywordInvokeExpr(source String, line int, tag Symbol, kw KeywordExpr, target Expr)","public KeywordInvokeExpr(source String, line int, column int, tag Symbol, kw KeywordExpr, target Expr)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.DefExpr,"public DefExpr(source String, line int, var Var, init Expr, meta Expr, initProvided boolean, isDynamic boolean)","public DefExpr(source String, line int, column int, var Var, init Expr, meta Expr, initProvided boolean, isDynamic boolean)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.InstanceFieldExpr,"public InstanceFieldExpr(line int, target Expr, fieldName String, tag Symbol)","public InstanceFieldExpr(line int, column int, target Expr, fieldName String, tag Symbol)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.IfExpr,"public IfExpr(line int, testExpr Expr, thenExpr Expr, elseExpr Expr)","public IfExpr(line int, column int, testExpr Expr, thenExpr Expr, elseExpr Expr)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler.RecurExpr,"public RecurExpr(loopLocals IPersistentVector, args IPersistentVector, line int, source String)","public RecurExpr(loopLocals IPersistentVector, args IPersistentVector, line int, column int, source String)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.LispReader.ReaderException,"public ReaderException(line int, cause Throwable)","public ReaderException(line int, column int, cause Throwable)"
6bbfd943766e11e52a3fe21b177d55536892d132,src/jvm/clojure.lang.Compiler,"package errorMsg(source String, line int, s String) : String","package errorMsg(source String, line int, column int, s String) : String"
b9b1a094499b69a94bd47fc94c4f082d80239fa9,src/jvm/clojure.lang.Compiler.DefExpr,"public DefExpr(source String, line int, var Var, init Expr, meta Expr, initProvided boolean)","public DefExpr(source String, line int, var Var, init Expr, meta Expr, initProvided boolean, isDynamic boolean)"
6c4961d526a7c114736627250ff874703b987bcb,src/jvm/clojure.lang.PersistentQueue,"package PersistentQueue(meta IPersistentMap, f ISeq, r PersistentVector)","package PersistentQueue(meta IPersistentMap, cnt int, f ISeq, r PersistentVector)"
cc8372f12074b4cccbdd9cde3cfacfae069c57d3,src/jvm/clojure.lang.Reflector,public prepRet(x Object) : Object,"public prepRet(c Class, x Object) : Object"
7652f7e935684d3c7851fbcad8ddce97e510a5a6,src/jvm/clojure.lang.Compiler.RecurExpr,"public RecurExpr(loopLocals IPersistentVector, args IPersistentVector)","public RecurExpr(loopLocals IPersistentVector, args IPersistentVector, line int, source String)"
9ad685bac487eae0e37341b2ff9f642a575d1a0d,src/jvm/clojure.lang.Compiler.StaticInvokeExpr,"public parse(v Var, args ISeq) : Expr","public parse(v Var, args ISeq, tag Symbol) : Expr"
9ad685bac487eae0e37341b2ff9f642a575d1a0d,src/jvm/clojure.lang.Compiler.StaticInvokeExpr,"package StaticInvokeExpr(target Type, retClass Class, paramclasses Class[], paramtypes Type[], variadic boolean, args IPersistentVector)","package StaticInvokeExpr(target Type, retClass Class, paramclasses Class[], paramtypes Type[], variadic boolean, args IPersistentVector, tag Symbol)"
ca737838aa65970775c58cd3a72fea4221a67bda,src/jvm/clojure.lang.Compiler.FnMethod,"package parse(objx ObjExpr, form ISeq) : FnMethod","package parse(objx ObjExpr, form ISeq, isStatic boolean) : FnMethod"
df8b048ab34751256e193e277d92f5a5bc1b53cd,src/jvm/clojure.lang.AFn,public throwArity() : Object,public throwArity(n int) : Object
12b5c5996dc2f9943f2fca075e94990a24cd7d37,src/jvm/clojure.lang.Compiler.NewInstanceExpr,"package compileStub(superName String, ret NewInstanceExpr, interfaceNames String[]) : Class","package compileStub(superName String, ret NewInstanceExpr, interfaceNames String[], frm Object) : Class"
12b5c5996dc2f9943f2fca075e94990a24cd7d37,src/jvm/clojure.lang.Compiler.NewInstanceExpr,"package build(interfaceSyms IPersistentVector, fieldSyms IPersistentVector, thisSym Symbol, tagName String, className String, typeTag Symbol, methodForms ISeq) : ObjExpr","package build(interfaceSyms IPersistentVector, fieldSyms IPersistentVector, thisSym Symbol, tagName String, className String, typeTag Symbol, methodForms ISeq, frm Object) : ObjExpr"
12b5c5996dc2f9943f2fca075e94990a24cd7d37,src/jvm/clojure.lang.DynamicClassLoader,"public defineClass(name String, bytes byte[]) : Class","public defineClass(name String, bytes byte[], srcForm Object) : Class"
76c8f45293987b80e3599535dd86482e1180661d,src/jvm/clojure.lang.Compiler.LocalBinding,"public LocalBinding(num int, sym Symbol, tag Symbol, init Expr, isArg boolean)","public LocalBinding(num int, sym Symbol, tag Symbol, init Expr, isArg boolean, clearPathRoot PathNode)"
76c8f45293987b80e3599535dd86482e1180661d,src/jvm/clojure.lang.Compiler.ObjExpr,"private emitLocal(gen GeneratorAdapter, lb LocalBinding) : void","private emitLocal(gen GeneratorAdapter, lb LocalBinding, clear boolean) : void"
292836f87260fdb994d25a98ef65b4edebf9d09e,src/jvm/clojure.lang.Compiler.NewInstanceExpr,"package build(interfaceSyms IPersistentVector, fieldSyms IPersistentVector, thisSym Symbol, className String, typeTag Symbol, methodForms ISeq) : ObjExpr","package build(interfaceSyms IPersistentVector, fieldSyms IPersistentVector, thisSym Symbol, tagName String, className String, typeTag Symbol, methodForms ISeq) : ObjExpr"
4115b53938c56e282b9de9701a2db474324092bd,src/jvm/clojure.lang.Compiler.InstanceMethodExpr,"public InstanceMethodExpr(source String, line int, target Expr, methodName String, args IPersistentVector)","public InstanceMethodExpr(source String, line int, tag Symbol, target Expr, methodName String, args IPersistentVector)"
4115b53938c56e282b9de9701a2db474324092bd,src/jvm/clojure.lang.Compiler.StaticMethodExpr,"public StaticMethodExpr(source String, line int, c Class, methodName String, args IPersistentVector)","public StaticMethodExpr(source String, line int, tag Symbol, c Class, methodName String, args IPersistentVector)"
4115b53938c56e282b9de9701a2db474324092bd,src/jvm/clojure.lang.Compiler.InstanceFieldExpr,"public InstanceFieldExpr(line int, target Expr, fieldName String)","public InstanceFieldExpr(line int, target Expr, fieldName String, tag Symbol)"
4115b53938c56e282b9de9701a2db474324092bd,src/jvm/clojure.lang.Compiler.StaticFieldExpr,"public StaticFieldExpr(line int, c Class, fieldName String)","public StaticFieldExpr(line int, c Class, fieldName String, tag Symbol)"
aa3f0e61a4f8f2837cd5147cfa72e61418d7b0d8,src/jvm/clojure.lang.Compiler.CaseExpr,"public CaseExpr(line int, expr Expr, shift int, mask int, low int, high int, defaultExpr Expr, tests HashMap, thens HashMap)","public CaseExpr(line int, expr Expr, shift int, mask int, low int, high int, defaultExpr Expr, tests HashMap, thens HashMap, identity boolean)"
6362e0f2522c4f7b2b2e626016b291d4832bb58a,src/jvm/clojure.lang.Compiler.NewInstanceMethod,"package parse(objx ObjExpr, form ISeq, overrideables Map, allmethods Map) : NewInstanceMethod","package parse(objx ObjExpr, form ISeq, thistag Symbol, overrideables Map, allmethods Map) : NewInstanceMethod"
eedcf35479737ab1136e3b8a00b2759190a73fdb,src/jvm/clojure.lang.PersistentHashMap,"public PersistentHashMap(meta IPersistentMap, count int, root INode)","public PersistentHashMap(meta IPersistentMap, count int, root INode, hasNull boolean, nullValue Object)"
eedcf35479737ab1136e3b8a00b2759190a73fdb,src/jvm/clojure.lang.PersistentHashMap.TransientHashMap,"package TransientHashMap(edit AtomicReference, root INode, count int)","package TransientHashMap(edit AtomicReference, root INode, count int, hasNull boolean, nullValue Object)"
e8fc494908acccdd0afd59b7678957b9d27afd68,src/jvm/clojure.lang.PersistentHashMap2.ArrayNode,"package ArrayNode(edit AtomicReference, array INode[])","package ArrayNode(edit AtomicReference, count int, array INode[])"
ad708fc31a924256bdbc9580c7929abc80487f70,src/jvm/clojure.lang.PersistentHashMap2.BitmapIndexedNode,"package editAndSet(i int, a Object) : BitmapIndexedNode","package editAndSet(edit AtomicReference, i int, a Object) : BitmapIndexedNode"
ad708fc31a924256bdbc9580c7929abc80487f70,src/jvm/clojure.lang.PersistentHashMap2.BitmapIndexedNode,"package editAndSet(i int, a Object, j int, b Object) : BitmapIndexedNode","package editAndSet(edit AtomicReference, i int, a Object, j int, b Object) : BitmapIndexedNode"
ad708fc31a924256bdbc9580c7929abc80487f70,src/jvm/clojure.lang.PersistentHashMap2.HashCollisionNode,"package editAndSet(i int, a Object) : HashCollisionNode","package editAndSet(edit AtomicReference, i int, a Object) : HashCollisionNode"
ad708fc31a924256bdbc9580c7929abc80487f70,src/jvm/clojure.lang.PersistentHashMap2.HashCollisionNode,"package editAndSet(i int, a Object, j int, b Object) : HashCollisionNode","package editAndSet(edit AtomicReference, i int, a Object, j int, b Object) : HashCollisionNode"
ad708fc31a924256bdbc9580c7929abc80487f70,src/jvm/clojure.lang.PersistentHashMap2.HashCollisionNode,"package ensureEditable(edit AtomicReference, array Object[]) : HashCollisionNode","package ensureEditable(edit AtomicReference, count int, array Object[]) : HashCollisionNode"
ad708fc31a924256bdbc9580c7929abc80487f70,src/jvm/clojure.lang.PersistentHashMap2.HashCollisionNode,"package HashCollisionNode(edit AtomicReference, hash int, array Object[])","package HashCollisionNode(edit AtomicReference, hash int, count int, array Object[])"
afe49293a08c2023a9457d88f0ff06c46f5a0528,src/jvm/clojure.lang.PersistentHashMap2.TransientHashMap,"package TransientHashMap(edit AtomicReference, root INode, count int)","package TransientHashMap(edit AtomicReference, root INode, count int, hasNull boolean, nullValue Object)"
11bbfdfdb500156afd9ebb36bf452bcb96b3708d,src/jvm/clojure.lang.PersistentHashMap.BitmapIndexedNode,"package create(bitmap int, nodes INode[], shift int) : INode","package create(edit AtomicReference, bitmap int, nodes INode[], shift int) : INode"
11bbfdfdb500156afd9ebb36bf452bcb96b3708d,src/jvm/clojure.lang.PersistentHashMap.BitmapIndexedNode,"package BitmapIndexedNode(bitmap int, nodes INode[], shift int)","package BitmapIndexedNode(edit AtomicReference, bitmap int, nodes INode[], shift int)"
11bbfdfdb500156afd9ebb36bf452bcb96b3708d,src/jvm/clojure.lang.PersistentHashMap.FullNode,"package FullNode(nodes INode[], shift int)","package FullNode(edit AtomicReference, nodes INode[], shift int)"
11bbfdfdb500156afd9ebb36bf452bcb96b3708d,src/jvm/clojure.lang.PersistentHashMap.LeafNode,"public LeafNode(hash int, key Object, val Object)","public LeafNode(edit AtomicReference, hash int, key Object, val Object)"
11bbfdfdb500156afd9ebb36bf452bcb96b3708d,src/jvm/clojure.lang.PersistentHashMap.HashCollisionNode,"public HashCollisionNode(hash int, leaves LeafNode[])","public HashCollisionNode(edit AtomicReference, hash int, leaves LeafNode[])"
11bbfdfdb500156afd9ebb36bf452bcb96b3708d,src/jvm/clojure.lang.PersistentHashMap.BitmapIndexedNode,"package create(shift int, branch INode, hash int, key Object, val Object, addedLeaf Box) : INode","package create(edit AtomicReference, shift int, branch INode, hash int, key Object, val Object, addedLeaf Box) : INode"
17284e6696c888e586d7c03db46065efdf82f50f,src/jvm/clojure.lang.Compiler,"private registerLocal(sym Symbol, tag Symbol, init Expr) : LocalBinding","private registerLocal(sym Symbol, tag Symbol, init Expr, isArg boolean) : LocalBinding"
17284e6696c888e586d7c03db46065efdf82f50f,src/jvm/clojure.lang.Compiler.LocalBinding,"public LocalBinding(num int, sym Symbol, tag Symbol, init Expr)","public LocalBinding(num int, sym Symbol, tag Symbol, init Expr, isArg boolean)"
c5ff863c30917cbc4eb728583f494886806a064e,src/jvm/clojure.lang.Compiler.ObjExpr,"package compile(superName String, interfaceNames String[]) : void","package compile(superName String, interfaceNames String[], oneTimeUse boolean) : void"
53cc7a6c2ed1d3d0bfc4447ecb27d05c4ebd537e,src/jvm/clojure.lang.PersistentVector,"private newPath(level int, node Node) : Node","private newPath(edit AtomicBoolean, level int, node Node) : Node"
653d6ee1fc4ffe7e60487a401298832faac18b48,src/jvm/clojure.lang.MultiFn,"public MultiFn(dispatchFn IFn, defaultDispatchVal Object, hierarchy IRef)","public MultiFn(name String, dispatchFn IFn, defaultDispatchVal Object, hierarchy IRef)"
2c0b7f60cbbc26b9efbf1a687b86d18bb39003a2,src/jvm/clojure.lang.MultiFn,"public MultiFn(dispatchFn IFn, defaultDispatchVal Object)","public MultiFn(dispatchFn IFn, defaultDispatchVal Object, hierarchy IRef)"
0859070dd1909f3e56b99b54c79aa4d7aaca8f74,src/jvm/clojure.lang.AStream.Seq,"package Seq(first Object, src Callable)","package Seq(first Object, pushed ISeq, src IFn)"
06d3b59c23ef90c9410470652ed6fc408d360716,src/jvm/clojure.lang.Atom,"public swap(f IFn, args ISeq) : Object","public swap(f IFn, x Object, y Object, args ISeq) : Object"
96757ae6fe6651f2753f7495a6ff476ed72c1798,src/jvm/clojure.lang.Compiler,"package getMatchingParams(methodName String, paramlists ArrayList, argexprs IPersistentVector) : int","package getMatchingParams(methodName String, paramlists ArrayList, argexprs IPersistentVector, rets List) : int"
170bace615638e8ef0aae1db1e86341b2032db2c,src/jvm/clojure.lang.Compiler,"public resolveIn(n Namespace, sym Symbol) : Object","public resolveIn(n Namespace, sym Symbol, allowPrivate boolean) : Object"
9bc5b30329913113c8a8310260b2c8d17cb0e0e3,src/jvm/clojure.lang.Compiler.InstanceMethodExpr,"public InstanceMethodExpr(line int, target Expr, methodName String, args IPersistentVector)","public InstanceMethodExpr(source String, line int, target Expr, methodName String, args IPersistentVector)"
9bc5b30329913113c8a8310260b2c8d17cb0e0e3,src/jvm/clojure.lang.Compiler.StaticMethodExpr,"public StaticMethodExpr(line int, c Class, methodName String, args IPersistentVector)","public StaticMethodExpr(source String, line int, c Class, methodName String, args IPersistentVector)"
